name,identifier,parent
Muskogean,genus/muskogean,tree
Alabaman-Koasati,None,musk1252
Western Muskogean,None,musk1252
Maban,genus/maban,tree
Mabang,None,maba1274
Runga-Kibet,None,maba1275
Maba-Masalit,None,maba1275
Macro-Masalit,None,maba1276
Macro-Maba,None,maba1276
Boran,genus/boran,tree
Rashad,None,tree
Mirndi,None,tree
Yirram,None,mirn1241
Ngurlun,None,mirn1241
Kuliak,genus/kuliak,tree
Ngangea-So,None,kuli1252
Sentanic,genus/sentani,tree
Nuclear Sentanic,None,sent1261
Sentani-Nafri,None,nucl1631
Hatam-Mansim,None,tree
Arafundi,None,tree
Unclassified Arafundi,None,araf1243
Bunaban,None,tree
Temeinic,genus/temein,tree
South-Eastern Tasmanian,None,tree
Chiquitano,None,tree
Uru-Chipaya,genus/uruchipaya,tree
West Bomberai,genus/westbomberai,tree
Nuclear West Bomberai,None,west2604
Ndu,None,tree
Nuclear Ndu,None,nduu1242
Ambulas-Hanga-Hundi,None,nucl1642
Manambu-Yalaku,None,nucl1642
Sawosic,None,nucl1642
Burui-Gaikundi,None,sawo1235
Iatmulic,None,sawo1235
Angan,genus/angan,tree
Nuclear Angan,None,anga1289
Ankave-Tainae-Akoye,None,nucl1763
Tainae-Akoye,None,sout3130
Kapau-Menya,None,nucl1763
Wojokesic,None,nucl1763
Kamasa-Susuami,None,nort3145
Baruya-Simbari,None,nucl1763
Pomoan,genus/pomoan,tree
Russian River and Eastern,None,pomo1273
Russian River,None,russ1265
Northern-Central Pomoan,None,russ1266
Southern Pomoan-Kashaya,None,russ1266
Mixed Language,None,tree
Warlpiri-Kriol,None,mixe1287
German-Yiddish-Romani-Rotwelsch,None,mixe1287
Quechua-Puquina,None,mixe1287
Cakchiquel-Quiche,None,mixe1287
Miao-Dong,None,mixe1287
Serbian-Romani,None,mixe1287
Persian-Indic,None,mixe1287
Spanish-Quechua,None,mixe1287
Gurindji-Kriol,None,mixe1287
Austronesian,None,tree
Western Plains Austronesian,None,aust1307
Central Western Plains,None,west2572
Tsouic,None,aust1307
Kanakanavu-Saaroa,None,tsou1250
Atayalic,genus/atayalic,aust1307
Malayo-Polynesian,None,aust1307
Javanesic,None,mala1545
Modern Javanese,None,java1253
Northwest Sumatra-Barrier Islands,None,mala1545
Batakic,None,nort2829
Southern Batak,None,toba1265
Tobaic,None,sout3166
Angkola-Mandailing,None,sout2849
Northern Batak,None,toba1265
Nuclear Barrier Islands,None,nort2829
Mentawai-Nias-Sikule,None,nucl1463
Nias-Sikule,None,ment1248
Batanic,None,mala1545
Yami-Itbayat,None,bata1315
Central-Eastern Malayo-Polynesian,None,mala1545
Eastern Malayo-Polynesian,None,cent2237
Oceanic,None,east2712
North and Central Vanuatu,None,ocea1241
Northern Vanuatu,None,nort3195
Torres-Banks linkage,None,nort3205
Hiw-Lo-Toga,None,torr1262
Koto-Olrat-Lakon,None,torr1262
Lemerig-Veraa,None,torr1262
Maewo,None,nort3205
Espiritu Santo,None,nort3205
Nuclear Santo,None,espi1234
East Santo,None,nucl1793
Mafea-Tutuba,None,east2754
Southeast Santo,None,east2754
Shark Bayic,None,nucl1793
South Santo,None,nucl1793
Araki-Tangoa,None,sout3339
West Santo,None,espi1234
Cape Cumberland,None,west2956
Southwest Santo,None,west2956
South-Central Santo,None,west2956
Central Santo,None,west2956
Ambae,None,nort3205
Central Vanuatu,None,nort3195
Epi-Efate,None,cent2269
Efate,None,epie1239
South Efatic,None,efat1236
North Efatic,None,efat1236
Epi,None,epie1239
Lamenu-Lewo,None,epii1237
Bieria-Maii,None,epii1237
Baki-Bierebo,None,epii1237
Ambrym,None,cent2269
Orkon-Port Vato-Dakaka,None,ambr1240
Port Vato-Dakaka,None,port1292
Malakula,None,cent2269
Eastern Malakula linkage,None,mala1539
Central-Southeast Malakula,None,east2753
Southeastern Malakula linkage,None,cent2315
Nasvang-Nisvai,None,sout3239
Port Sandwich-Axamb-Avok,None,sout3239
Unua-Pangkumu,None,cent2315
Northern Malakula,None,mala1539
North Coast Malakula,None,nort3223
Botovro-Vovo-Vao,None,nort3230
Western Malakula linkage,None,mala1539
