id,name,parent,latitude,longitude,countries,macroareas,status
mus,Creek,musk1252|cree1270,31.0,-87.5,|US,|North America,moribund
mik,Mikasuki,musk1252|mika1239,26.08142,-80.90847,|US,|North America,shifting
xap,Apalachee,musk1252|alab1247|apal1237,30.118,-84.416,|US,|North America,extinct
cku,Koasati,musk1252|alab1247|koas1236,30.4096,-92.709,|US,|North America,moribund
akz,Alabama,musk1252|alab1247|alab1237,30.76738,-94.62848,|US,|North America,shifting
cho,Choctaw,musk1252|west2614|choc1276,32.25,-88.5,|US,|North America,threatened
cic,Chickasaw,musk1252|west2614|chic1270,34.0,-88.0,|US,|North America,shifting
kie,Kibet,maba1274|maba1275|rung1257|kibe1241,11.32054,20.87674,|TD,|Africa,not endangered
rou,Runga,maba1274|maba1275|rung1257|rung1258,9.7154,20.9945,|CF|TD|SD,|Africa,not endangered
mdg,Massalat,maba1274|maba1275|maba1276|masa1301|mass1262,13.5157,19.7348,|TD,|Africa,moribund
sbj,Surbakhal,maba1274|maba1275|maba1276|masa1301|surb1238,13.1331,21.6243,|TD,|Africa,not endangered
mls,Masalit,maba1274|maba1275|maba1276|masa1301|nucl1440,13.2733,22.1752,|TD|SD,|Africa,not endangered
mvu,Marfa,maba1274|maba1275|maba1276|nucl1441|marf1238,13.1568,20.7882,|TD,|Africa,not endangered
mde,Maba (Chad),maba1274|maba1275|maba1276|nucl1441|maba1277,12.89147,20.8889,|TD,|Africa,not endangered
klf,Kendeje,maba1274|maba1275|maba1276|nucl1441|kend1253,13.24447,21.53955,|TD,|Africa,shifting
kth,Karanga,maba1274|maba1275|maba1276|nucl1441|kara1484,13.1748,20.6354,|TD,|Africa,shifting
None,Mimi-Nachtigal,maba1274|mimi1241,14.302046,20.724106,|TD,|Africa,extinct
grx,Guriaso,guri1248,-3.5718,141.597,|PG,|Papunesia,shifting
pwa,Pawaia,pawa1255,-6.88021,145.081,|PG,|Papunesia,shifting
boa,Bora,bora1262|bora1263,-2.000259,-72.257066,|BR|CO|PE,|South America,threatened
bmr,Muinane,bora1262|muin1242,-0.8652,-72.4249,|CO,|South America,moribund
None,Guamo,guam1236,8.2351027,-67.4018753,|VE,|South America,extinct
tag,Tagoi,rash1249|tago1246,12.0346,30.9306,|SD,|Africa,threatened
ras,Tegali,rash1249|tega1236,11.9523,31.1112,|SD,|Africa,threatened
uhn,Damal,dama1272,-4.17345,137.496,|ID,|Papunesia,shifting
puq,Puquina,puqu1242,-15.8992,-69.9611,|PE,|South America,extinct
kgg,Kusunda,kusu1250,28.33,82.6,|NP,|Eurasia,nearly extinct
djd,Jaminjung-Ngaliwurru,mirn1241|djam1254|djam1255,-15.0558,130.06,|AU,|Australia,shifting
nug,Nungali,mirn1241|djam1254|nung1291,-14.9109,131.641,|AU,|Australia,extinct
jig,Jingulu,mirn1241|djin1251,-17.165,133.659,|AU,|Australia,moribund
wmb,Wambayan,mirn1241|guda1245|wamb1258,-17.496,135.683,|AU,|Australia,nearly extinct
nji,Ngarnka,mirn1241|guda1245|ngar1283,-17.42,134.73,,|Australia,extinct
teu,Soo,kuli1252|ngan1305|sooo1256,2.58367,34.7595,|UG,|Africa,moribund
nyp,Nyang'i,kuli1252|ngan1305|nyan1313,3.4997,33.73651,|UG,|Africa,nearly extinct
ikx,Ik,kuli1252|ikkk1242,3.61407,34.2507,|KE|UG,|Africa,threatened
vil,Vilela,vile1241,-27.4063,-58.9661,|AR,|South America,extinct
tun,Tunica,tuni1252,30.9888,-92.5403,|US,|North America,extinct
tnm,Tabla,sent1261|nucl1631|tabl1243,-2.45368,140.396,|ID,|Papunesia,moribund
nxx,Nafri,sent1261|nucl1631|sent1262|nafr1241,-2.65036,140.727,|ID,|Papunesia,moribund
set,Sentani,sent1261|nucl1631|sent1262|nucl1632,-2.6013,140.512,|ID,|Papunesia,not endangered
dmy,Demta,sent1261|demt1241,-2.38475,140.166,|ID,|Papunesia,moribund
atx,Arutani,arut1244,4.0673594,-62.8676118,|BR|VE,|South America,nearly extinct
yet,Yetfa,yetf1238,-4.05884,140.653,|ID|PG,|Papunesia,shifting
had,Hatam,hata1242|hata1243,-1.13531,134.037,|ID,|Papunesia,threatened
None,Mansim,hata1242|mans1260,-0.915054,134.011116,|ID,|Papunesia,moribund
None,Meakambut,araf1243|uncl1510|meak1234,-4.833,143.783,|PG,|Papunesia,threatened
afk,Nanubae,araf1243|nanu1240,-4.71731,143.937,|PG,|Papunesia,shifting
afd,Andai,araf1243|anda1283,-4.96449,143.637,|PG,|Papunesia,shifting
afp,Tapei,araf1243|tape1242,-4.77763,143.337,|PG,|Papunesia,shifting
mzp,Movima,movi1243,-13.8115,-65.6348,|BO,|South America,shifting
xxt,Tambora,tamb1257,-8.25,118.0,|ID,|Papunesia,extinct
bck,Bunaba,buna1274|buna1275,-17.8297,125.631,|AU,|Australia,nearly extinct
gni,Gooniyandi,buna1274|goon1238,-18.4073,126.351,|AU,|Australia,moribund
teq,Temein,teme1251|nucl1339,11.8275,29.3898,|SD,|Africa,threatened
keg,Tese,teme1251|tese1238,11.3885,29.5803,|SD,|Africa,shifting
cuy,Cuitlatec,cuit1236,18.1,-100.5,|MX,|North America,extinct
myr,Muniche,muni1258,-5.7441796,-76.426712,|PE,|South America,extinct
None,South-Eastern-Tasmanian-Hinterland,sout1293|sout1439,-42.988576,146.885376,|AU,|Australia,extinct
None,Bruny Island,sout1293|brun1235,-43.373112,147.247925,|AU,|Australia,extinct
gpn,Taiap,taia1239,-4.05047,144.506,|PG,|Papunesia,moribund
cax,Lomeriano-Ignaciano Chiquitano,chiq1253|chiq1248,-16.769554,-61.817795,|BO|BR,|South America,shifting
None,Migueleño Chiquitano,chiq1253|sanm1288,-16.669596,-60.960861,,|South America,nearly extinct
cid,Chimariko,chim1301,41.0,-123.0,|US,|North America,extinct
kla,Klamath-Modoc,klam1254,42.5861,-121.704,|US,|North America,extinct
None,Yurumanguí,yuru1243,3.436864,-76.522636,|CO,|South America,extinct
ure,Uru,uruc1242|uruu1244,-16.72547,-68.97119,|BO,|South America,extinct
cap,Chipaya,uruc1242|chip1262,-18.73951,-67.89633,|BO,|South America,shifting
ihp,Iha,west2604|nucl1641|ihaa1241,-2.81013,132.271,|ID,|Papunesia,not endangered
bdw,Baham,west2604|nucl1641|baha1258,-3.10628,132.637,|ID,|Papunesia,threatened
kgv,Kalamang,west2604|kara1499,-3.47037,132.678,|ID,|Papunesia,shifting
bzf,Boikin,nduu1242|boik1241,-3.68297,143.474,|PG,|Papunesia,threatened
nud,Ngala,nduu1242|ngal1300,-4.26628,142.5,|PG,|Papunesia,shifting
wos,Hanga Hundi,nduu1242|nucl1642|ambu1246|hang1263,-3.90364,142.849,|PG,|Papunesia,threatened
abt,Ambulas,nduu1242|nucl1642|ambu1246|ambu1247,-3.7801,143.059,|PG,|Papunesia,threatened
ylg,Yalaku,nduu1242|nucl1642|mana1303|yelo1243,-4.09907,142.808,|PG,|Papunesia,shifting
mle,Manambu,nduu1242|nucl1642|mana1303|mana1298,-4.19082,142.862,|PG,|Papunesia,shifting
bry,Burui,nduu1242|nucl1642|sawo1235|bund1258|buru1309,-4.03527,143.015,|PG,|Papunesia,shifting
gbf,Gaikundi,nduu1242|nucl1642|sawo1235|bund1258|gaik1242,-4.01718,143.139,|PG,|Papunesia,shifting
ian,Iatmul,nduu1242|nucl1642|sawo1235|sawo1234|iatm1242,-4.30064,143.316,|PG,|Papunesia,shifting
sdk,Sos Kundi,nduu1242|nucl1642|sawo1235|sawo1234|sosk1235,-3.99024,143.396,|PG,|Papunesia,shifting
keh,Keak,nduu1242|nucl1642|sawo1235|sawo1234|keak1239,-3.98708,143.174,|PG,|Papunesia,shifting
